"time","anomalies.detector_id","anomalies.diff"
"2015-09-07T06:55:31.000Z","31","-7"
"2015-09-07T08:40:31.000Z","67","34"
"2015-09-07T15:03:01.000Z","2","5"
"2015-09-07T15:18:01.000Z","2","4"
"2015-09-07T15:30:01.000Z","2","4"
"2015-09-07T16:00:01.000Z","3","5"
"2015-09-08T23:58:31.000Z","26","-6"
"2015-09-09T08:49:31.000Z","3","5"
"2015-09-09T12:15:01.000Z","2","4"
"2015-09-09T15:04:31.000Z","2","-4"
"2015-09-09T15:06:01.000Z","2","5"
"2015-09-09T15:07:31.000Z","2","-4"
"2015-09-09T15:12:01.000Z","2","4"
"2015-09-09T15:37:31.000Z","2","5"
"2015-09-09T15:39:01.000Z","2","-5"
"2015-09-09T16:09:01.000Z","2","-4"
"2015-09-09T17:25:31.000Z","44","-6"
"2015-09-10T13:04:31.000Z","3","-5"
"2015-09-10T15:07:31.000Z","2","-5"
"2015-09-10T15:10:31.000Z","3","5"
"2015-09-10T15:13:31.000Z","3","-5"
"2015-09-11T12:31:31.000Z","2","4"
"2015-09-11T12:33:01.000Z","2","-4"
"2015-09-11T13:12:01.000Z","2","4"
"2015-09-11T13:13:31.000Z","2","-4"
"2015-09-11T14:46:31.000Z","2","-4"
"2015-09-11T15:03:01.000Z","2","5"
"2015-09-11T15:04:31.000Z","2","-5"
"2015-09-11T15:09:01.000Z","3","-5"
"2015-09-11T15:10:31.000Z","2","-4"
"2015-09-11T15:12:01.000Z","3","5"
"2015-09-11T15:13:31.000Z","3","-5"
"2015-09-11T15:36:01.000Z","2","-4"
"2015-09-11T16:12:01.000Z","3","5"
"2015-09-12T13:19:31.000Z","33","-10"
"2015-09-14T09:49:31.000Z","3","5"
"2015-09-14T14:34:31.000Z","2","4"
"2015-09-14T15:04:31.000Z","3","5"
"2015-09-14T15:12:01.000Z","3","5"
"2015-09-14T15:16:31.000Z","2","4"
"2015-09-14T15:19:31.000Z","2","-4"
